Engine_Temperature,Vibration_Levels,Fuel_Consumption,Downtime_Maintenance,Maintenance_Required
0.0,0.04940424791552246,0.0,0.0010559656784365648,1
0.0,0.018714558964723054,0.0,0.03792621836636173,1
0.0,0.10960255637175723,0.5337927985603095,0.01540541050844178,1
0.0,0.06596926401623407,0.0,0.0,1
0.0,0.08667919296411954,0.0,0.07456952786530184,1
0.0,0.13015387681630752,1.0,0.04735487285586606,1
0.0,0.0449708354181992,0.11662880557052907,0.07867100312036637,1
0.0,0.08818743839911573,0.0,0.0,0
0.0,0.041637122399289614,0.5377149924786362,0.0,0
0.0,0.013509974413553314,1.0,0.0,1
0.0,0.2680684813236239,0.27476586515498885,0.013273572029711349,1
0.0,0.04682723345713334,0.035018469119178885,0.0,1
0.0,0.011436686136434289,0.0,0.0,1
0.0,0.09852977843933,0.38301789233693656,0.1022680667070109,1
0.0,0.17364676417764763,0.0,0.0,0
0.0,0.02884055756493376,0.7803327172565291,0.0,1
0.0,0.11316162460167944,0.0,0.04768628644593635,1
0.0,0.31180933896960317,0.358237485277534,0.0,1
0.0,0.0028241090816291115,0.0,0.0,0
0.0,0.008617361715790306,0.7207338943502364,0.06396610823993139,1
0.0,0.2167215725163864,0.919833612308752,0.1108749061006275,1
0.0,0.09132444240345176,0.05176068330435829,0.0,0
0.0,0.03588580133761237,0.0,0.03651742505322976,1
0.0,0.0033347188130109476,1.0,0.12682587463633405,1
0.0,0.10840286964741719,0.0,0.0,0
0.0,0.0026653742022726724,1.0,0.0,0
0.0,0.05251667522836805,0.1867577071768442,0.06281539973216445,1
0.0,0.01510112452071202,0.0,0.1348984948472693,1
0.0,0.03882670494208233,0.0,0.008585493061810421,1
0.0,0.010206618765219623,1.0,0.0,0
0.0,0.1261777851082898,0.3094491185626182,0.05927916677330255,1
0.0,0.004627515700296793,0.05651311416629978,0.013529400414279724,1
0.0,0.011413548634163473,0.5420662113979511,0.0,1
0.0,0.033560978427355934,0.2131852985610631,0.06680986553770979,1
0.0,0.029792556979176977,0.49645309747958194,0.0,0
0.0,0.021245643610739225,0.31838985954816373,0.05147245064427075,1
0.0,0.03261126549309921,0.0,0.0,1
0.0,0.9539065982067207,0.6520059638983777,0.06813304836974728,1
0.0,0.07932641939351195,0.08530656721799523,0.0,1
0.0,0.005909180281342864,0.3383165664901269,0.09379429806668471,1
0.0,0.03512441834336892,0.0,0.0,1
0.0,0.04111942435085169,0.0,0.24004632628336922,1
0.0,0.09221401638081439,1.0,0.07780829538207816,1
0.0,0.19937941654359623,0.2835957055081662,0.0,1
0.0,0.06234615632290317,1.0,0.0,0
0.0,0.12513821209110043,0.0,0.0,0
0.0,0.01952530271471784,0.0,0.04227540021959572,1
0.0,0.09584449288082819,0.0,0.0,1
0.0,0.0694772484563531,0.5299668030505587,0.05310680115810838,1
0.0,0.027840799735553808,0.5653579901312644,0.0,0
0.0,0.2194418056744854,0.0,0.10392414631840534,1
0.0,0.14820717304420347,0.45561178529453644,0.09192791947397214,1
0.0,0.09424304443881638,0.329877842906623,0.0,1
0.0,0.010253085185630829,1.0,0.0,1
0.0,0.2093828741339017,0.0,0.0,1
0.0,0.10179667744202867,0.42638628794061023,0.0,1
0.0,0.15765782382708,0.0,0.0,0
0.0,0.005551804957597303,0.0,0.0,0
0.0,0.27671439513283846,0.5816515800114781,0.0,1
0.0,0.017067989837674456,0.0,0.0,0
0.0,0.09184254854795837,0.6783559618734656,0.24283903160407638,1
0.0,0.006751497169128647,0.11610752934794266,0.0,0
0.0,0.05915722399962924,1.0,0.0,1
0.0,0.01405784644867732,0.0,0.009020807417594014,1
0.0,0.0385442374128941,0.0,0.024094386527475708,1
0.0,0.16865187298449238,0.39287339870528676,0.01515870550169188,1
0.0,0.29132020614099846,1.0,0.0010335461289381859,1
0.0,0.17649698007768316,1.0,0.007633798832778209,1
0.0,0.01073347595921074,0.13551480866231036,0.0,1
0.0,0.0463170962730948,0.0,0.011404120694954601,1
0.0,0.004697877267721942,0.0,0.0,0
0.0,0.007969873287646862,0.7104974579225609,0.0,1
0.0,0.04209727065097504,0.5195695841484704,0.0,1
0.0,0.025592969283773644,0.0,0.17301888774426463,1
0.0,0.18523881058579597,0.0,0.0,1
0.0,0.004046600841931736,0.0,0.0,1
0.0,0.2176078025503117,0.7376963438041559,0.27194470602115167,1
0.0,0.1250983862808436,0.20652794782977651,0.021959124655065936,1
0.0,0.04200543063457868,0.9594466841840958,0.0,0
0.0,0.07525426496105954,0.0,0.0,0
0.0,0.05738829117506274,0.15894932757532743,0.0,0
0.0,0.1179167045804834,0.29490702293200294,0.0,1
0.0,0.27778516724742874,0.08164597961711118,0.05474512179293593,1
0.0,0.05359307424267883,0.0,0.1224446133792128,1
0.0,0.06211851315976723,1.0,0.2996381980652193,1
0.0,0.05046798724081523,0.0,0.08185706593747524,1
0.0,0.18798375979361448,1.0,0.10259802674470964,1
0.0,0.22235124789075264,0.2766675985741088,0.059951901902253926,1
0.0,0.09366052011060758,0.0,0.023452359826235152,1
0.0,0.32141801571209255,0.0,0.028627034760992938,1
0.0,0.0010314263593411885,0.7810628583497832,0.0,0
0.0,0.1743226038439397,0.0,0.07916081047313193,1
0.0,0.0340515318685138,0.2528477770306438,0.0011214495340980688,1
0.0,0.004179581454509275,0.6378579076402158,0.0,1
0.0,0.06709668773331383,0.530665909052503,0.0,1
0.0,0.17240675860139185,0.0,0.0,0
0.0,0.004116680444352173,0.8003756331325844,0.0,1
0.0,0.01086375813484773,0.5993149761025682,0.0,0
0.0,0.3460805823563929,0.23914437144326922,0.0,0
0.0,0.08194787369955374,0.14804988857800305,0.008330579367103403,1
0.0,0.2692975616717345,1.0,0.0,1
0.0,0.1070123416912249,0.0,0.0,1
0.0,0.12295376933342678,0.1636019004960787,0.0723672030179557,1
0.0,0.09992873807982584,0.0,0.0,1
0.0,0.0319976819009106,0.0,0.07504307685552963,1
0.0,0.009379363554730789,0.6585452538805454,0.0,1
0.0,0.04157212549230964,0.4872370716982933,0.0,0
0.0,0.007821726639940095,0.0,0.0,1
0.0,0.030619044245159776,1.0,0.0,0
0.0,0.040935155751265405,0.0,0.0,1
0.0,0.11159040524925029,0.8484773976116711,0.01000045320618976,1
0.0,0.057800206589176215,0.8324824399133244,0.0,1
0.0,0.0801520027530587,0.0,0.07907540226139478,1
0.0,0.016246526537487007,0.10960606989752664,0.015952034419178744,1
0.0,0.021836586573114276,0.20380734095906866,0.0,0
0.0,0.14027751224752474,1.0,0.0,0
0.0,0.01023741480568516,0.0,0.05359163281398887,1
0.0,0.13252226408213452,0.31955956944953884,0.0,1
0.0,0.054618150871693104,0.0,0.0,0
0.0,0.05033404761720224,1.0,0.001964172167675881,1
0.0,0.008015069934081801,0.04474428959450427,0.0,0
0.0,0.01591320131436104,0.0,0.0,1
0.0,0.07505425126168529,0.0,0.07979899615377455,1
0.0,0.028249051660084307,0.0,0.0,0
0.0,0.16570285142783758,0.0,0.0,1
0.0,0.07445325676495024,0.0,0.15373303375088324,1
0.0,0.09534344086686326,0.4078133190751256,0.0,0
0.0,0.08426520776618729,0.0,0.03858454808645779,1
0.0,0.06465617030652816,0.8794645823277407,0.0,0
